epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.927,1.01707,1.22475,1.33269,0.72049,0.66968,0.73211,0.50373,1.05829,1.07609,1.29874,0.000138732,0.000138732,0.000138732
2,372.963,0.98124,1.24181,1.28539,0.72107,0.68764,0.74256,0.5178,1.04245,1.08258,1.28374,0.000268567,0.000268567,0.000268567
3,545.144,0.9923,1.26325,1.29009,0.6722,0.64035,0.69348,0.47441,1.0743,1.18919,1.3021,0.000389227,0.000389227,0.000389227
4,708.116,1.00911,1.30937,1.30163,0.71914,0.64855,0.72015,0.4931,1.07173,1.11314,1.30468,0.000375717,0.000375717,0.000375717
5,870.668,0.99878,1.26774,1.29736,0.7057,0.6464,0.70466,0.48971,1.05411,1.1303,1.29903,0.000361956,0.000361956,0.000361956
6,1031.08,0.98123,1.24086,1.28314,0.73974,0.66318,0.73448,0.51348,1.0397,1.08347,1.2766,0.000348195,0.000348195,0.000348195
7,1190.77,0.9728,1.20391,1.27653,0.73511,0.66972,0.74462,0.52638,1.01324,1.03977,1.25893,0.000334434,0.000334434,0.000334434
8,1350.44,0.96238,1.18102,1.26639,0.75475,0.69007,0.7636,0.54447,1.00135,1.0013,1.25224,0.000320673,0.000320673,0.000320673
9,1516.74,0.95001,1.15341,1.25997,0.75376,0.69356,0.76188,0.53951,1.01155,0.97329,1.25008,0.000306912,0.000306912,0.000306912
10,1732.47,0.9482,1.14069,1.25524,0.75395,0.71616,0.77889,0.55872,0.98134,0.97473,1.22666,0.000293151,0.000293151,0.000293151
11,2021.37,0.93519,1.11974,1.24867,0.75955,0.69721,0.77444,0.55557,0.99031,0.95502,1.23152,0.00027939,0.00027939,0.00027939
12,2296.56,0.92607,1.09688,1.24111,0.77482,0.71319,0.78955,0.56983,0.9733,0.91799,1.21604,0.000265629,0.000265629,0.000265629
13,2570.13,0.92121,1.08209,1.2382,0.7791,0.71703,0.789,0.57057,0.9745,0.91102,1.2197,0.000251868,0.000251868,0.000251868
14,2843.46,0.91191,1.06407,1.23358,0.79198,0.72006,0.80346,0.58569,0.9631,0.88903,1.20981,0.000238107,0.000238107,0.000238107
15,3115.02,0.90719,1.0491,1.22611,0.78142,0.72345,0.79924,0.58373,0.95213,0.87488,1.20517,0.000224346,0.000224346,0.000224346
16,3393.43,0.90081,1.02845,1.21758,0.79068,0.72832,0.80588,0.5896,0.95135,0.8602,1.19758,0.000210585,0.000210585,0.000210585
17,3683.91,0.89196,1.00458,1.21344,0.77695,0.7322,0.79844,0.58361,0.94343,0.86814,1.19548,0.000196824,0.000196824,0.000196824
18,3963.17,0.87779,0.98547,1.20559,0.78544,0.73638,0.81114,0.60014,0.93694,0.84254,1.18915,0.000183063,0.000183063,0.000183063
19,4259.4,0.87239,0.97222,1.20086,0.80021,0.73533,0.81663,0.60204,0.93238,0.83445,1.18292,0.000169302,0.000169302,0.000169302
20,4541.16,0.86811,0.96098,1.19783,0.80038,0.73348,0.81648,0.60332,0.93249,0.84007,1.1807,0.000155541,0.000155541,0.000155541
21,4842.1,0.8342,0.80757,1.17106,0.80253,0.73707,0.81772,0.60669,0.92445,0.82499,1.17499,0.00014178,0.00014178,0.00014178
22,5097.08,0.82202,0.77274,1.1622,0.80668,0.74336,0.82065,0.61295,0.92111,0.81477,1.17522,0.000128019,0.000128019,0.000128019
23,5351.58,0.80621,0.7502,1.15371,0.79954,0.74659,0.82008,0.61213,0.92018,0.81111,1.17656,0.000114258,0.000114258,0.000114258
24,5610.6,0.80031,0.73355,1.14591,0.80663,0.74685,0.82658,0.61679,0.9147,0.80423,1.17061,0.000100497,0.000100497,0.000100497
25,5862.88,0.78459,0.71289,1.13398,0.80767,0.75605,0.82805,0.62063,0.90976,0.7979,1.16957,8.6736e-05,8.6736e-05,8.6736e-05
26,6139.23,0.77823,0.69591,1.1287,0.80688,0.75407,0.8274,0.62074,0.91007,0.79702,1.16737,7.2975e-05,7.2975e-05,7.2975e-05
27,6402.03,0.76929,0.68516,1.12428,0.79838,0.76628,0.82932,0.62497,0.90788,0.78979,1.16749,5.9214e-05,5.9214e-05,5.9214e-05
28,6661.52,0.76002,0.67145,1.11541,0.80168,0.76763,0.83216,0.62724,0.90501,0.77985,1.16343,4.5453e-05,4.5453e-05,4.5453e-05
29,6949.07,0.75338,0.65499,1.11108,0.81462,0.76009,0.83153,0.62821,0.90522,0.78204,1.16677,3.1692e-05,3.1692e-05,3.1692e-05
30,7208.47,0.74417,0.64598,1.10537,0.80795,0.76593,0.83121,0.62739,0.9041,0.77875,1.16309,1.7931e-05,1.7931e-05,1.7931e-05
