epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7545,1.1134,3.39022,1.20466,0.67434,0.56505,0.60323,0.41151,1.19908,1.75468,1.22052,0.000138463,0.000138463,0.000138463
2,100.203,1.20196,2.02802,1.29319,0.63426,0.58704,0.60913,0.40483,1.17442,1.39725,1.23223,0.000263729,0.000263729,0.000263729
3,146.552,1.17675,1.69363,1.29646,0.62557,0.53148,0.56626,0.36887,1.2217,1.45707,1.26478,0.000375233,0.000375233,0.000375233
4,192.194,1.15413,1.60785,1.27578,0.67363,0.587,0.63353,0.4235,1.15422,1.25703,1.21511,0.000355076,0.000355076,0.000355076
5,242.788,1.11896,1.5175,1.24967,0.65659,0.57913,0.63456,0.43377,1.13364,1.22295,1.18334,0.000334434,0.000334434,0.000334434
6,290.504,1.10289,1.45416,1.23307,0.71692,0.57074,0.64882,0.43834,1.12496,1.18423,1.17666,0.000313792,0.000313792,0.000313792
7,336.615,1.08503,1.3962,1.22103,0.71916,0.61581,0.69408,0.47895,1.09161,1.10206,1.15676,0.000293151,0.000293151,0.000293151
8,381.959,1.0707,1.34626,1.21058,0.71514,0.62933,0.69365,0.48322,1.08126,1.10753,1.1511,0.000272509,0.000272509,0.000272509
9,428.691,1.05261,1.30786,1.20031,0.7349,0.64523,0.71732,0.50496,1.06152,1.03695,1.12385,0.000251868,0.000251868,0.000251868
10,474.503,1.04412,1.28001,1.192,0.73237,0.63997,0.71468,0.50106,1.05499,1.06263,1.12358,0.000231226,0.000231226,0.000231226
11,554.243,1.0005,1.1314,1.14041,0.74163,0.63858,0.71525,0.50411,1.0464,1.02863,1.1131,0.000210585,0.000210585,0.000210585
12,601.977,0.97613,1.0643,1.1257,0.75209,0.65697,0.73689,0.52516,1.03281,0.99271,1.10634,0.000189943,0.000189943,0.000189943
13,647.337,0.9599,1.01538,1.11614,0.75261,0.6561,0.73604,0.52495,1.02763,0.9776,1.10302,0.000169302,0.000169302,0.000169302
14,691.466,0.9453,0.97598,1.1077,0.75484,0.67099,0.74463,0.53692,1.01511,0.96338,1.09855,0.00014866,0.00014866,0.00014866
15,734.977,0.92906,0.94472,1.0993,0.79048,0.66355,0.75562,0.54657,1.00815,0.92573,1.091,0.000128019,0.000128019,0.000128019
16,778.223,0.90949,0.90786,1.08727,0.77753,0.68434,0.76574,0.55609,1.00076,0.91071,1.09161,0.000107378,0.000107378,0.000107378
17,822.302,0.896,0.88406,1.07758,0.78902,0.68255,0.76952,0.56231,0.98579,0.88516,1.07524,8.6736e-05,8.6736e-05,8.6736e-05
18,865.579,0.87759,0.85225,1.06904,0.78348,0.69489,0.77683,0.56825,0.98201,0.87524,1.07204,6.60945e-05,6.60945e-05,6.60945e-05
19,908.81,0.86587,0.81774,1.06161,0.79163,0.69684,0.77999,0.57342,0.97804,0.86532,1.07181,4.5453e-05,4.5453e-05,4.5453e-05
20,955.623,0.85265,0.79983,1.05323,0.79959,0.69475,0.78525,0.57856,0.96867,0.8537,1.06582,2.48115e-05,2.48115e-05,2.48115e-05
